id,category,question,answer,source
1,请假,怎么请病假?,病假需辅导员签字假条+校医院证明，3天内交教务处,学生手册P23
2,请假,事假申请流程是什么?,提前1天提交书面事假申请，辅导员审批，3天以上需系部主任签字,学生手册P24
3,请假,请假超过一周怎么处理?,请假7天及以上，系部审核后报备教务处备案,学校官网教务管理
4,请假,没请假旷课会有什么处分?,无故旷课累计10节给予通报批评，累计20节记过处分,学生手册P26
5,奖学金,奖学金需要什么条件?,学年平均绩点≥3.0，无挂科，体测合格,学生手册P45
6,奖学金,国家奖学金评选名额多少?,每专业每学年1-2个名额，优先综合测评排名前5%,学校官网教务管理
7,奖学金,挂科还能参评奖学金吗?,当年有不及格课程，直接取消所有奖学金参评资格,学生手册P46
8,奖学金,综合测评包含哪些分数?,学业成绩70%+德育20%+文体竞赛10%,班级群通知2026.05.10
9,奖学金,励志奖学金申请额外要求?,家庭认定为困难学生，绩点2.8以上，无违纪记录,学生手册P47
10,宿舍报修,宿舍水管漏水怎么报修?,登录校园后勤小程序提交报修，填写楼栋宿舍号故障描述,学校官网教务管理
11,宿舍报修,报修多久工作人员上门?,水电类紧急故障2小时内到场，家具维修24小时内处理,班级群通知2026.04.20
12,宿舍报修,人为损坏宿舍设施谁承担费用?,人为破损由对应宿舍学生全额承担维修材料费,学生手册P62
13,宿舍报修,空调故障报修渠道是什么?,拨打后勤维修专线，或线下到宿舍楼宿管处登记,学生手册P63
14,一卡通补办,一卡通丢失怎么补办?,携带身份证到食堂一楼卡务中心现场补办,学生手册P31
15,一卡通补办,补办一卡通收费多少?,工本费20元，可刷校园余额或现金缴费,学校官网教务管理
16,一卡通补办,挂失一卡通流程?,先在校园APP线上冻结卡片，再线下补办防止盗刷,班级群通知2026.06.01
17,一卡通补办,补办后旧卡余额会转移吗?,补办完成后3个工作日内，旧卡余额自动转入新卡,学生手册P32
18,选课退课,每学期选课开放时间是什么?,每学期开学第1、2周为首轮选课时段,学校官网教务管理
19,选课退课,退课截止日期是哪天?,开学第4周周五18点关闭退课通道，之后不可退课,学生手册P18
20,选课退课,选课学分上限是多少?,每学期最多选修28学分，超出系统无法提交选课,学校官网教务管理
21,选课退课,选错课怎么修改?,首轮选课期间可无限次更换，二轮选课仅能补选空位课程,班级群通知2026.02.25
22,选课退课,退课后学分会不会清零?,正常退课不计入挂科，该课程学分不计入本学期总学分,学生手册P19
